id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,2.75,9,-2.899999976158142,-3.5,-1.2999999523162842,0,16.33333396911621,89
2,1998/01/02,3.875,9,-2.69999997317791,-3.299999952316284,-1.2999999523162842,2.8,15.333333015441895,91
3,1998/01/03,4.625,9,0.125,-1.399999976158142,1,,20,95
4,1998/01/04,5.75,9,1.5374999940395355,0.6000000238418579,2.299999952316284,2.7,15.333333015441895,97
5,1998/01/05,4.125,9,0.8249999918043613,-2.5,2.299999952316284,0.7,14.666666984558105,90
6,1998/01/06,3.125,10,-1.2625000001862645,-3.4000000953674316,0.8999999761581421,,12.666666984558105,96
7,1998/01/07,3.5,9,-0.1875000037252903,-0.8999999761581421,0.8999999761581421,2.6,12.666666984558105,96
8,1998/01/08,5,9,2.487499952316284,0.4000000059604645,5.5,1.5,12,88
9,1998/01/09,4.25,9,1.6124999970197678,-0.4000000059604645,4,1.7,5.666666507720947,87
10,1998/01/10,5.625,9,-0.725000012665987,-1.7999999523162842,-0.10000000149011612,0.4,6.333333492279053,73
11,1998/01/11,4.875,9,-1.3749999701976776,-3,2.200000047683716,7.8,6.333333492279053,84
12,1998/01/12,3.5,9,3.3875000178813934,2.200000047683716,4.300000190734863,,7,93
13,1998/01/13,3.5,9,1.6874999850988388,1,3.5999999046325684,,6,97
14,1998/01/14,3.5,9,1.1249999962747097,0.5,1.7000000476837158,0,3.6666667461395264,94
15,1998/01/15,4.25,9,-3.725290298461914E-09,-0.699999988079071,1,0,2.6666667461395264,93
16,1998/01/16,3.375,10,0.5875000096857548,0.30000001192092896,1,0.4,1,98
17,1998/01/17,5,9,0.23750000912696123,-0.4000000059604645,0.699999988079071,,1,95
18,1998/01/18,3.75,10,1.2624999918043613,0.30000001192092896,4,0.5,0.6666666865348816,97
19,1998/01/19,3.625,10,-1.124999973922968,-3,0.699999988079071,,0.6666666865348816,99
20,1998/01/20,5.625,9,-1.1125000063329935,-3.200000047683716,0.5,,0.6666666865348816,84
21,1998/01/21,5.125,9,-3.2250000536441803,-3.700000047683716,-2.5,0,0.6666666865348816,83
22,1998/01/22,4.5,5,-4.800000011920929,-8.100000381469727,-2.4000000953674316,,0.6666666865348816,62
23,1998/01/23,2.75,5,-6.799999952316284,-10.699999809265137,-2.5,,,70
24,1998/01/24,1.375,5,-5.9250000566244125,-9.5,-0.8999999761581421,,,71
25,1998/01/25,3.5,5,-4.612500041723251,-6.599999904632568,-2.200000047683716,,,69
26,1998/01/26,2.125,5,-6.5124999433755875,-11.199999809265137,-1.2999999523162842,,,59
27,1998/01/27,3.75,0,-6.162499949336052,-10.199999809265137,-0.5,,,58
28,1998/01/28,6.875,5,-4.862499978393316,-9,-0.10000000149011612,0,,68
29,1998/01/29,3.375,5,-4.225000023841858,-8.100000381469727,-1.399999976158142,0.3,1,86
30,1998/01/30,4.125,5,-8.73749989271164,-13.300000190734863,-5.699999809265137,0,,78
31,1998/01/31,6.25,5,-5.375,-7.599999904632568,-3.5,2.7,5.666666507720947,73
32,1998/02/01,4.75,5,-10.37499988079071,-12.600000381469727,-7,0.4,4,76
33,1998/02/02,4.125,5,-10.399999916553497,-14.600000381469727,-4.400000095367432,,4.333333492279053,71
34,1998/02/03,6.25,5,-8.487500011920929,-10.399999618530273,-6.699999809265137,0.6,4.333333492279053,78
35,1998/02/04,5,5,-4.774999920278788,-9.199999809265137,0.30000001192092896,0,5.666666507720947,78
36,1998/02/05,5.75,5,-1.7374999895691872,-5.300000190734863,2.4000000953674316,,4.333333492279053,68
37,1998/02/06,4,5,-1.1750000417232513,-6.099999904632568,2.200000047683716,0,3.6666667461395264,73
38,1998/02/07,5,5,-4.650000020861626,-8.899999618530273,-0.6000000238418579,,1.6666666269302368,79
39,1998/02/08,2.25,5,-9.762499928474426,-14.899999618530273,-3.9000000953674316,,1.6666666269302368,79
40,1998/02/09,3.75,9,-1.5125000700354576,-9.5,1.600000023841858,1.1,1.6666666269302368,87
41,1998/02/10,3.625,9,1.2750000115484,0.20000000298023224,2.5999999046325684,0.7,2,92
42,1998/02/11,4.25,9,3.1125000417232513,1.899999976158142,4.900000095367432,,,85
43,1998/02/12,5.25,9,3.3999999463558197,1.899999976158142,4.900000095367432,0.9,,91
44,1998/02/13,5.375,5,1.962500013411045,-0.8999999761581421,4.699999809265137,3.1,,78
45,1998/02/14,3,5,-4.112500099465251,-9.199999809265137,0,0,,61
46,1998/02/15,3.125,9,-2.1249999925494194,-4,-0.4000000059604645,3.9,5.666666507720947,84
47,1998/02/16,5.5,9,-1.1124999970197678,-5.599999904632568,7,2.1,5.333333492279053,87
48,1998/02/17,8.125,9,2.5625000298023224,-2.299999952316284,8,3,,74
49,1998/02/18,6,5,-5.550000011920929,-11.5,-2,0,,63
50,1998/02/19,6,9,3.0374999791383743,-3.799999952316284,6.599999904632568,0.3,,93
51,1998/02/20,4.875,9,5.274999976158142,3.5,6.400000095367432,,,82
52,1998/02/21,3.375,9,3.8999999463558197,1.899999976158142,6.599999904632568,0,,89
53,1998/02/22,4.5,5,4.22500005364418,-0.6000000238418579,13.399999618530273,,,84
54,1998/02/23,2.25,10,1.7499999953433871,-1.2000000476837158,6.099999904632568,,,96
55,1998/02/24,4.5,5,2.787500012665987,-0.6000000238418579,6,0.3,,84
56,1998/02/25,5.75,5,-0.8625000044703484,-4.5,4.300000190734863,0,,60
57,1998/02/26,3.25,5,-4.337500023655593,-8,0.10000000149011612,0.5,,73
58,1998/02/27,2.625,9,2.662499986588955,0.10000000149011612,4,0.4,,89
